waveplate_angle,diode_current
252.5,N/A
N/A,3.68E-09
N/A,3.78E-09
253,N/A
N/A,3.87E-09
253.5,N/A
N/A,3.87E-09
N/A,3.89E-09
254,N/A
N/A,4.03E-09
254.5,N/A
N/A,4.15E-09
N/A,4.18E-09
255,N/A
N/A,4.21E-09
255.5,N/A
N/A,4.27E-09
N/A,4.36E-09
256,N/A
N/A,4.47E-09
256.5,N/A
N/A,4.54E-09
N/A,4.68E-09
257,N/A
N/A,4.69E-09
257.5,N/A
N/A,4.85E-09
N/A,4.94E-09
258,N/A
N/A,4.94E-09
258.5,N/A
N/A,5.01E-09
259,N/A
N/A,5.21E-09
N/A,5.25E-09
259.5,N/A
N/A,5.40E-09
260,N/A
N/A,5.54E-09
N/A,5.54E-09
260.5,N/A
N/A,5.56E-09
261,N/A
N/A,5.76E-09
N/A,5.66E-09
261.5,N/A
N/A,5.81E-09
262,N/A
N/A,5.91E-09
N/A,6.06E-09
262.5,N/A
N/A,6.16E-09
263,N/A
N/A,6.21E-09
N/A,6.26E-09
263.5,N/A
N/A,6.40E-09
264,N/A
N/A,6.44E-09
N/A,6.41E-09
264.5,N/A
N/A,6.50E-09
265,N/A
N/A,6.58E-09
N/A,6.63E-09
265.5,N/A
N/A,6.61E-09
266,N/A
N/A,6.71E-09
N/A,6.70E-09
266.5,N/A
N/A,6.76E-09
267,N/A
N/A,6.75E-09
267.5,N/A
N/A,6.85E-09
N/A,6.80E-09
268,N/A
N/A,6.91E-09
268.5,N/A
N/A,6.86E-09
N/A,6.94E-09
269,N/A
N/A,7.00E-09
269.5,N/A
N/A,6.78E-09
N/A,6.87E-09
270,N/A
N/A,6.82E-09
270.5,N/A
N/A,6.80E-09
N/A,6.80E-09
271,N/A
N/A,6.71E-09
271.5,N/A
N/A,6.66E-09
N/A,6.67E-09
272,N/A
N/A,6.57E-09
272.5,N/A
N/A,6.40E-09
N/A,6.44E-09
273,N/A
N/A,6.40E-09
273.5,N/A
N/A,6.28E-09
N/A,6.22E-09
274,N/A
N/A,6.14E-09
274.5,N/A
N/A,6.05E-09
N/A,5.92E-09
275,N/A
N/A,5.95E-09
275.5,N/A
N/A,5.76E-09
N/A,5.67E-09
276,N/A
N/A,5.64E-09
276.5,N/A
N/A,5.43E-09
277,N/A
N/A,5.38E-09
N/A,5.32E-09
277.5,N/A
N/A,5.20E-09
278,N/A
N/A,5.11E-09
N/A,5.03E-09
278.5,N/A
N/A,4.98E-09
279,N/A
N/A,4.83E-09
N/A,4.73E-09
279.5,N/A
N/A,4.61E-09
280,N/A
N/A,4.49E-09
N/A,4.53E-09
280.5,N/A
N/A,4.39E-09
281,N/A
N/A,4.25E-09
N/A,4.21E-09
281.5,N/A
N/A,4.07E-09
282,N/A
N/A,3.93E-09
N/A,3.87E-09
282.5,N/A
N/A,3.80E-09
283,N/A
N/A,3.67E-09
N/A,3.58E-09
283.5,N/A
N/A,3.57E-09
284,N/A
N/A,3.43E-09
N/A,3.42E-09
284.5,N/A
N/A,3.43E-09
285,N/A
N/A,3.36E-09
285.5,N/A
N/A,3.21E-09
N/A,3.20E-09
286,N/A
N/A,3.18E-09
286.5,N/A
N/A,3.05E-09
N/A,3.07E-09
287,N/A
N/A,2.99E-09
287.5,N/A
N/A,2.99E-09
N/A,3.01E-09
288,N/A
N/A,2.96E-09
288.5,N/A
N/A,2.91E-09
N/A,2.89E-09
289,N/A
N/A,2.81E-09
289.5,N/A
N/A,2.78E-09
N/A,2.80E-09
290,N/A
N/A,2.79E-09
290.5,N/A
N/A,2.74E-09
N/A,2.77E-09
291,N/A
N/A,2.70E-09
291.5,N/A
N/A,2.77E-09
N/A,2.80E-09
292,N/A
N/A,2.76E-09
292.5,N/A
N/A,2.80E-09
N/A,2.81E-09
293,N/A
N/A,2.82E-09
293.5,N/A
N/A,2.83E-09
294,N/A
N/A,2.91E-09
N/A,2.93E-09
294.5,N/A
N/A,2.95E-09
295,N/A
N/A,3.03E-09
N/A,2.95E-09
295.5,N/A
N/A,3.03E-09
296,N/A
N/A,3.05E-09
N/A,3.08E-09
296.5,N/A
N/A,3.15E-09
297,N/A
